Godina,Dan,Vrijeme,Predmet,Tip,Profesor,Učionica
1,Mon,16-18,Multimedijalni sustavi,Predavanje,izv. prof. dr. sc. Darko Etinger,108
1,Mon,18-20,Osnove IKT,Predavanje,izv. prof. dr. sc. Darko Etinger,108
1,Mon,8-10,Diferencijalni i integralni račun,Predavanje,izv. prof. dr. sc. Valter Boljunčić,109
1,Mon,10-12,Logika i diskretna matematika,Predavanje,doc. dr. sc. Siniša Miličić,109
1,Mon,14-16,Osnove podatkovne znanosti,Predavanje,doc. dr. sc. Siniša Miličić,109
1,Tue,8-10,Programiranje,Predavanje,izv. prof. dr. sc. Tihomir Orehovački,109
1,Tue,10-12,Logika i diskretna matematika,Vježbe,mag. edu. math. Tea Šumberac,110
1,Tue,14-16,Multimedijalni sustavi,Vježbe,izv. prof. dr. sc. Željka Tomasović,110
1,Tue,16-18,Programiranje,Vježbe,mag. inf. Robert Šajina,110
1,Tue,18-20,Osnove IKT,Vježbe,mag. inf. Romeo Šajina,110
1,Wed,8-10,Osnove podatkovne znanosti,Vježbe,doc. dr. sc. Ivan Lorencin,110
1,Thu,14-16,Diferencijalni i integralni račun,Vježbe,izv. prof. dr. sc. Valter Boljunčić,110
