Godina,Dan,Vrijeme,Predmet,Tip,Profesor,Učionica
2,Tue,8-10,Osnove ekonomije,Predavanje,izv. prof. dr. sc. Dean Sinković,108
2,Mon,16-18,SPA,Predavanje,izv. prof. dr. sc. Tihomir Orehovački,109
2,Mon,18-20,Geoinformacijski sustavi,Predavanje,dr. sc. Boris Blagonić,109
2,Tue,8-10,Baze podataka II,Vježbe,mag. inf. Romeo Šajina,110
2,Mon,8-10,Mrežni sustavi,Predavanje,doc. dr. sc. Ivan Lorencin,132
2,Mon,10-12,Baze podataka II,Predavanje,doc. dr. sc. Goran Oreški,132
2,Mon,14-16,Statistika,Predavanje,dr. sc. Darko Brborović,132
2,Tue,10-12,Mrežni sustavi,Vježbe,dipl. ing. Dalibor Fonović,133
2,Tue,14-16,Statistika,Vježbe,dr. sc. Darko Brborović,133
2,Tue,16-18,SPA,Vježbe,mr. sc. Igor Škorić,133
2,Tue,18-20,Osnove ekonomije,Vježbe,izv. prof. dr. sc. Dean Sinković,133
